customer_id,credit_score,country,gender,age,tenure,balance,products_number,credit_card,active_member,estimated_salary,age_group,tenure_density,product_density,churn
15634602,619,France,Female,42,2,0.0,1,1,1,101348.88,4,0.5,0.25,1
15647311,608,Spain,Female,41,1,11.336294008805,1,0,1,112542.58,4,0.25,0.25,0
15619304,502,France,Female,42,8,11.980813107093399,3,1,0,113931.57,4,2.0,0.75,1
15701354,699,France,Female,39,1,0.0,2,0,0,93826.63,3,0.3333333333333333,0.6666666666666666,0
15737888,850,Spain,Female,43,2,11.740155216385942,1,1,1,79084.1,4,0.5,0.25,0
15574012,645,Spain,Male,44,8,11.64181793943253,2,1,0,149756.71,4,2.0,0.5,1
15592531,822,France,Male,50,7,0.0,2,1,1,10062.8,5,1.4,0.4,0
15656148,376,Germany,Female,29,4,11.65310245163737,4,1,0,119346.88,2,2.0,2.0,1
15792365,501,France,Male,44,4,11.863948959509845,2,0,1,74940.5,4,1.0,0.5,0
15592389,684,France,Male,27,2,11.810098951107612,1,1,1,71725.73,2,1.0,0.5,0
15767821,528,France,Male,31,6,11.532901802668079,2,0,0,80181.12,3,2.0,0.6666666666666666,0
15737173,497,Spain,Male,24,3,0.0,2,1,0,76390.01,2,1.5,1.0,0
15632264,476,France,Female,34,10,0.0,2,1,0,26260.98,3,3.3333333333333335,0.6666666666666666,0
15691483,549,France,Female,25,5,0.0,2,0,0,190857.79,2,2.5,1.0,0
15600882,635,Spain,Female,35,7,0.0,2,1,1,65951.65,3,2.3333333333333335,0.6666666666666666,0
15643966,616,Germany,Male,45,3,11.87151145170291,2,0,1,64327.26,4,0.75,0.5,0
15737452,653,Germany,Male,58,1,11.79512161724095,1,1,0,5097.67,5,0.2,0.2,1
15788218,549,Spain,Female,24,9,0.0,2,1,1,14406.41,2,4.5,1.0,0
15661507,587,Spain,Male,45,6,0.0,1,0,0,158684.81,4,1.5,0.25,0
15568982,726,France,Female,24,6,0.0,2,1,1,54724.03,2,3.0,1.0,0
15577657,732,France,Male,41,8,0.0,2,1,1,170886.17,4,2.0,0.5,0
15597945,636,Spain,Female,32,8,0.0,2,1,0,138555.46,3,2.6666666666666665,0.6666666666666666,0
15699309,510,Spain,Female,38,4,0.0,1,1,0,118913.53,3,1.3333333333333333,0.3333333333333333,1
15725737,669,France,Male,46,3,0.0,2,0,1,8487.75,4,0.75,0.5,0
15625047,846,France,Female,38,5,0.0,1,1,1,187616.16,3,1.6666666666666667,0.3333333333333333,0
15738191,577,France,Male,25,3,0.0,2,0,1,124508.29,2,1.5,1.0,0
15736816,756,Germany,Male,36,2,11.826396914200256,1,1,1,170041.95,3,0.6666666666666666,0.3333333333333333,0
15700772,571,France,Male,44,9,0.0,2,0,0,38433.35,4,2.25,0.5,0
15728693,574,Germany,Female,43,3,11.858997405211202,1,1,1,100187.43,4,0.75,0.25,0
15656300,411,France,Male,29,0,10.997056645644541,2,1,1,53483.21,2,0.0,1.0,0
15589475,591,Spain,Female,39,3,0.0,3,1,0,140469.38,3,1.0,1.0,1
15706552,533,France,Male,36,7,11.354078608681013,1,0,1,156731.91,3,2.3333333333333335,0.3333333333333333,0
15750181,553,Germany,Male,41,9,11.60926729425936,2,0,0,81898.81,4,2.25,0.5,0
